0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;20_похожих
Кикбоксер;Боевик (Экшен);Драма;Другое;Классика (до 2000 года);7.329;28131;Kickboxer;6.4;4.9;;;;;;;;;;;;;;;;;;;;"Землетрясение;Вздымающийся ад;Лучшие из лучших;Мастер тай-цзи;Кикбоксер 2: Дорога назад;Крид: Наследие Рокки;Панчер;Пламя;Не сдавайся;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Бой с тенью 3D: Последний раунд;Пьяный мастер;Змея в тени орла;Доспехи Бога;Парень-каратист;Бесстрашная гиена;Быстрый и мертвый"
Сердце из стали;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.12;988953;Ji qi zhi xue;5.2;3.6;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Миссия невыполнима: Племя изгоев;Боевик (Экшен);Триллер;Шпионский;Новинки (2020–2025);7.101;678549;Mission: Impossible - Rogue Nation;7.4;7.5;;;;;;;;;;;;;;;;;;;;"Код 355;Миссия: невыполнима 7. Смертельная расплата;Без права на ошибку;Не время умирать;Камуфляж и шпионаж;Игры патриотов;Берлинское дело;Агент Ева;Запретная миссия;Аксель;Душа шпиона;Агент Эмерсон;Хитмэн: Агент 47;Миротворец;Ультиматум Борна;Казино Рояль;Идентификация Борна;Скала;Превосходство Борна;Система безопасности"
Погоня;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);5.904;501293;Abduction;5.1;3.3;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Ночные ястребы;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);6.596;9190;Nighthawks;6.3;6.2;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Идентификация Борна;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);7.771;619;The Bourne Identity;7.8;7.1;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Миссия: невыполнима 3;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка;Квант милосердия"
Джанго;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.336;77394;Django;7.2;8;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джон Уик 2;Неоспоримый 2;Форсаж"
Сломанная стрела;Боевик (Экшен);Военный;Военный;Классика (до 2000 года);6.756;9514;Broken Arrow;6.1;5.6;;;;;;;;;;;;;;;;;;;;"Рэмбо: Первая кровь;Рэмбо: первая кровь;Серые волки;Коммандос;Лучший стрелок;Рэмбо: Первая кровь 2;Эйр Америка;Легионер;Рэмбо 3;Коммандо;300 спартанцев;300 спартанцев: Расцвет империи;22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Охотник;Отряд"
RRR: Рядом ревет революция;Боевик (Экшен);Исторический;Военный;Новинки (2020–2025);7.992;1115117;RRR;7.8;8.3;;;;;;;;;;;;;;;;;;;;"RRR: Рядом ревёт революция;13 убийц;Шаолинь;Тень;Железный рыцарь;Меч дракона;Последние рыцари;22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Вне зоны доступа;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели"
Морбиус;Боевик (Экшен);Фантастика;Супергеройский;Новинки (2020–2025);5.616;1100425;Morbius;5.1;3.8;;;;;;;;;;;;;;;;;;;;"Чудо-женщина: 1984;Человек-паук: Через вселенные;Человек-паук: Нет пути домой;Лига справедливости Зака Снайдера;Флэш;Черная Вдова;Черепашки-ниндзя: Погром мутантов;Майор Гром;Отряд самоубийц: Миссия навылет;Майор Гром: Чумной Доктор;Удар молнии;Воины света;Бессмертная гвардия;Черная Пантера: Ваканда навеки;Жил-был Дэдпул;Суперкоманда;Черный Адам;Веном 2;Проект Power;Хищные птицы: Потрясающая история Харли Квинн"
Люди Икс: Начало. Росомаха;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.381;104904;X-Men Origins: Wolverine;6.5;5.1;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Костолом;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.244;749;Mean Machine;6.4;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Ягуар;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.334;14292;Le jaguar;6;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Восточный ветер. Великий Ураган;Боевик (Экшен);Приключения;Другое;Новинки (2020–2025);7.984;1341940;Ostwind - Der gro?e Orkan;5.8;0;;;;;;;;;;;;;;;;;;;;"Мишель Вальян: Жажда скорости;Звериная ярость;Доспехи Бога;Дневной свет;Прыжок богомола;Посейдон;Вулкан;Зеленые цепочки;Королевская регата;Форсаж 9;Бедуин;Авангард: Арктические волки;Крид: Наследие Рокки;Панчер;Пламя;Вышка;Сумасшедшая езда;Большая игра;Осьминожки;Кровавый спорт"
Враг государства;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.822;3954;Enemy of the State;7.3;6.4;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Голдфингер;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Золотой глаз;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Человек с золотым пистолетом;Завтра не умрет никогда;Вид на убийство;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
Ларго Винч 2: Заговор в Бирме;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);6.819;464606;Largo Winch II;6.1;0;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Миссия: невыполнима 3;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка"
Супермен 4: В поисках мира;Боевик (Экшен);Фантастика;Супергеройский;Классика (до 2000 года);4.256;1926;Superman IV: The Quest for Peace;3.7;3;;;;;;;;;;;;;;;;;;;;"Бэтмен;Бэтмен возвращается;Супермен;Супермен 2;Черепашки-ниндзя 2: Тайна изумрудного зелья;Черепашки-ниндзя 2;Черепашки-ниндзя;Бэтмен навсегда;Супермен 3;Бэтмен и Робин;Чудо-женщина: 1984;Темный рыцарь;Темный рыцарь: Возрождение легенды;Человек-паук: Через вселенные;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Человек-паук: Нет пути домой"
Через прицел;Боевик (Экшен);Триллер;Криминальный;Новинки (2020–2025);7.074;4666544;;0;0;;;;;;;;;;;;;;;;;;;;"Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка;Башня;Кейт;Где 042?;Егерь;Смерть на взлете;Пассажир 57;12 раундов;Гаджини;Крепкий орешек 3: Возмездие;Скорость;Стрелок;Исчезающая точка;Иностранец;Воздушный маршал;Рок;В осаде"
Разборки в маленьком Токио;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.141;5472;Showdown in Little Tokyo;6.1;4.3;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Бесстрашный;Боевик (Экшен);Биографический;Другое;Современное кино (2000–2020);8.047;102161;Huo Yuan Jia;7.6;6.8;;;;;;;;;;;;;;;;;;;;"Ип Ман 3;Ип Ман 2;Ип Ман;Капитан Филлипс;Ип Ман 4: Финал;Опасные пассажиры поезда 123;Бродяга Кэнсин;Бродяга Кэнсин: Великий киотский пожар;Поезд-беглец;Затойчи;Неуправляемый;Не сдавайся;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Разлом Сан-Андреас;Посейдон;Вулкан;Бой с тенью 3D: Последний раунд"
Отставник;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.101;490287;;4.3;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Клинч;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);5.059;840020;;5.2;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Блэйд;Боевик (Экшен);Фэнтези;Супергеройский;Классика (до 2000 года);7.293;4554;Blade;7.1;6;;;;;;;;;;;;;;;;;;;;"Тор: Рагнарёк;Шан-Чи и легенда десяти колец;Шан-Чи и легенда Десяти колец;Секретная служба Санта-Клауса;Чудо-женщина;Пуленепробиваемый монах;Геракл;Тор: Любовь и гром;Призрачный гонщик;Хеллбой;Джона Хекс;Манускрипт ниндзя;Смертельная битва 2: Истребление;Бэтмен;Бэтмен возвращается;Супермен;Супермен 2;Черепашки-ниндзя 2: Тайна изумрудного зелья;Черепашки-ниндзя 2;Черепашки-ниндзя"
Дневной свет;Боевик (Экшен);Приключения;Другое;Классика (до 2000 года);7.008;5506;Daylight;6;5;;;;;;;;;;;;;;;;;;;;"Доспехи Бога;Прыжок богомола;Восточный ветер. Великий Ураган;Посейдон;Вулкан;Мишель Вальян: Жажда скорости;Звериная ярость;Осьминожки;Кровавый спорт;Наемник;Великолепная семерка;Живи и дай умереть;На секретной службе ее Величества;Осьминожка;Ниндзя 2;Святой;В смертельной опасности;Землетрясение;Пьяный мастер;Змея в тени орла"
Одинок по контракту;Боевик (Экшен);Комедия;Криминальный;Новинки (2020–2025);5.087;803429;;5.5;0;;;;;;;;;;;;;;;;;;;;"Городской охотник;Телохранитель жены киллера;Красное уведомление;Пьяный мастер 2;Час пик;Драконы навсегда;Молодой мастер;Близнецы-драконы;Телохранитель киллера;Плохой парень;Пушки Акимбо;Проект А: Часть 2;Неистребимый шпион;Сумасшедшая езда;На Париж!;Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых"
Неудержимые 3;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.136;696813;The Expendables 3;6.1;4.9;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Агент Эмерсон;Боевик (Экшен);Триллер;Шпионский;Новинки (2020–2025);0;1039020;Agent Emerson;0;0;;;;;;;;;;;;;;;;;;;;"Код 355;Миссия: невыполнима 7. Смертельная расплата;Без права на ошибку;Миссия невыполнима: Племя изгоев;Не время умирать;Камуфляж и шпионаж;Игры патриотов;Берлинское дело;Агент Ева;Запретная миссия;Аксель;Душа шпиона;Хитмэн: Агент 47;Миротворец;Ультиматум Борна;Казино Рояль;Идентификация Борна;Скала;Превосходство Борна;Система безопасности"
Каратель;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.826;978853;The Punisher;8.4;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2;Форсаж"
Последнее испытание;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);7.322;957914;;4.4;0;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели;Единичка;Король неба;Высший пилотаж;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд"
Макс Пэйн;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.077;195608;Max Payne;5.3;3.8;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Хищники;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);6.493;460523;Predators;6.4;5.9;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж;Судный день"
Джон Уик 3;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.037;1009536;John Wick: Chapter 3 - Parabellum;7.4;7.5;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Крутой поворот;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.692;279894;The Lucky Ones;6.9;5.1;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Агент Ева;Боевик (Экшен);Триллер;Шпионский;Новинки (2020–2025);6.334;1189368;Ava;5.5;4.5;;;;;;;;;;;;;;;;;;;;"Код 355;Миссия: невыполнима 7. Смертельная расплата;Без права на ошибку;Миссия невыполнима: Племя изгоев;Не время умирать;Камуфляж и шпионаж;Игры патриотов;Берлинское дело;Запретная миссия;Аксель;Душа шпиона;Агент Эмерсон;Хитмэн: Агент 47;Миротворец;Ультиматум Борна;Казино Рояль;Идентификация Борна;Скала;Превосходство Борна;Система безопасности"
Ганмен;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.019;717310;The Gunman;5.8;4.3;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Груз без маркировки;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.595;44616;;5.3;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
В западне;Боевик (Экшен);Триллер;Криминальный;Классика (до 2000 года);5.852;1355141;Till Death;5.9;6.6;;;;;;;;;;;;;;;;;;;;"Пассажир 57;Крепкий орешек 3: Возмездие;Скорость;Исчезающая точка;Воздушный маршал;Рок;В осаде;Слепая ярость;Внезапная смерть;Турбулентность;Скорость 2: Контроль над круизом;12 раундов;Гаджини;Стрелок;Иностранец;Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка"
Бродяга Кэнсин;Боевик (Экшен);Исторический;Другое;Современное кино (2000–2020);8.02;268758;Rurouni Kenshin: Meiji Kenkaku Romantan;8.5;0;;;;;;;;;;;;;;;;;;;;"Бродяга Кэнсин: Великий киотский пожар;Затойчи;Дом летающих кинжалов;13 убийц;Шаолинь;Тень;Братство клинков;Железный рыцарь;Меч дракона;Последние рыцари;Опасные пассажиры поезда 123;Бесстрашный;Поезд-беглец;Неуправляемый;Не сдавайся;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Разлом Сан-Андреас"
Мистер и миссис Смит;Боевик (Экшен);Комедия;Шпионский;Современное кино (2000–2020);7.545;12090;Mr. & Mrs. Smith;6.5;6.1;;;;;;;;;;;;;;;;;;;;"Kingsman: Секретная служба;Агенты А.Н.К.Л.;РЭД;Kingsman: Золотое кольцо;Рыцарь дня;Случайный шпион;Ангелы Чарли;Ангелы Чарли 2: Только вперед;РЭД 2;Правдивая ложь;Неистребимый шпион;Пипец;Зеленый Шершень;Телохранитель киллера;Пушки Акимбо;Маленький генерал;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна"
Перестрелка;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.707;844017;Free Fire;6.3;6.5;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Братство клинков;Боевик (Экшен);Исторический;Шпионский;Современное кино (2000–2020);6.423;841469;Xiu chun dao;6.6;0;;;;;;;;;;;;;;;;;;;;"Дом летающих кинжалов;Бродяга Кэнсин;Бродяга Кэнсин: Великий киотский пожар;13 убийц;Затойчи;Шаолинь;Тень;Железный рыцарь;Меч дракона;Последние рыцари;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Kingsman: Секретная служба;Система безопасности;007: Координаты """"Скайфолл;Большая игра;Миссия невыполнима: Последствия"
Во власти тигра;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);6.043;418872;Burning Bright;5.8;0;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Миссия: невыполнима 3;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка"
Красотка на взводе;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.345;1262095;Jolt;5.6;4.8;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
