0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;20_похожих
Всадник без головы;Приключения;Детектив;Поиски сокровищ;Классика (до 2000 года);7.05;45918;;6.5;0;;;;;;;;;;;;"Капитан «Пилигрима»;Особо важное задание;Остров сокровищ;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Сокровища Сьерра Мадре;Индиана Джонс и последний крестовый поход;Буч Кэссиди и Сандэнс Кид;Пираты;Приключения Буратино;Индиана Джонс и Храм Судьбы;Мумия;Аргонавты;Искатели приключений;Дорога на Эльдорадо;Земля Санникова;Роман с камнем;Золото Маккенны;Красное солнце;Человек из Рио"
Гладиаторы Рима;Приключения;Семейный;Исторические квесты;Современное кино (2000–2020);5.273;597580;Gladiatori di Roma;5.2;0;;;;;;;;;;;;"В белом плену;Невероятное путешествие мистера Спивета;Сокровище Амазонки;Тарбозавр 3D;Братство волка;Одинокий рейнджер;Легенда Зорро;Орел Девятого легиона;Необычайные приключения Адель;Гардемарины III;Робин Гуд: Начало;Форт Росс: В поисках приключений;Последний дюйм;Приключения Буратино;Отважные капитаны;Приключения желтого чемоданчика;Приключения Хомы;Тарзан;Приключения запятой и точки;Зов предков"
В пасти океана;Приключения;Исторический;Экстремальное выживание;Современное кино (2000–2020);5.747;1313735;Great White;4.2;4.6;;;;;;;;;;;;"В сердце моря;Китобой;Красная палатка;Граф Монте-Кристо;Сокровище нации;Сокровище;Братство волка;Идальго: Погоня в пустыне;Сокровище нации: Книга Тайн;Черное золото;Орел Девятого легиона;Гардемарины III;Робин Гуд: Начало;Форт Росс: В поисках приключений;127 часов;В Арктику;Альпинист;Касаясь пустоты;В диких условиях;Жизнь Пи"
Сокровище Амазонки;Приключения;Семейный;Поиски сокровищ;Современное кино (2000–2020);7.084;5412;The Rundown;6.7;6.4;;;;;;;;;;;;"Приключения Буратино;Приключения Хомы;Приключения запятой и точки;Золотая речка;Удивительные приключения Дениса Кораблева;Том Сойер;Приключения Десперо;Пятерка кладоискателей;В белом плену;Невероятное путешествие мистера Спивета;Гладиаторы Рима;Тарбозавр 3D;Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Граф Монте-Кристо;Пираты Карибского моря: Сундук мертвеца;Планета сокровищ;Приключения Тинтина: Тайна Единорога;Атлантида: Затерянный мир;Сокровище нации"
Путешествие к центру Земли;Приключения;Фантастика;Экзотические путешествия;Классика (до 2000 года);6.715;252903;Journey to the Center of the Earth 3D;5.8;6;;;;;;;;;;;;"Парк Юрского периода 2: Затерянный мир;Необыкновенные приключения Карика и Вали;Остров погибших кораблей;Конго;Затерянный мир;Кинг-Конг;Путешествие 2: Таинственный остров;Земля Санникова;Миллион лет до нашей эры;Вокруг света за 80 дней;Фицкарральдо;Порко Россо;Джуманджи;Приключения желтого чемоданчика;Потерянный горизонт;Тарзан;Приключения барона Мюнхгаузена;Неукротимая Анжелика;Пираты ХХ века;Жизнь Бенгальского улана"
Индиана Джонс и последний крестовый Поход;Приключения;Боевик (Экшен);Поиски сокровищ;Классика (до 2000 года);8.075;472;Indiana Jones and the Last Crusade;8.2;8;;;;;;;;;;;;"Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Красное солнце;Человек из Рио;Остров головорезов;Вольный ветер;Доспехи бога: В поисках сокровищ;Приключения Тинтина: Тайна Единорога;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Сахара;Лара Крофт: Расхитительница гробниц;Tomb Raider: Лара Крофт;Либерея: Охотники за сокровищами;Сокровища О.К.;Маска Зорро;Приключения «Посейдона»;Зорро"
След Сокола;Приключения;Военный;Исторические квесты;Классика (до 2000 года);6.931;43951;Spur des Falken;5.8;0;;;;;;;;;;;;"Неуловимые мстители;Неуловимые мстители 2: Новые приключения неуловимых;Жизнь Бенгальского улана;13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Маска Зорро;Робин Гуд: Принц воров;Зорро;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Капитан Фракасс;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела;Тайна королевы Анны, или Мушкетеры 30 лет спустя"
На краю Земли;Приключения;Исторический;Экзотические путешествия;Новинки (2020–2025);7.103;4963154;The Convert;6.4;6.6;;;;;;;;;;;;"Неукротимая Анжелика;Идальго: Погоня в пустыне;Черное золото;Виннету — сын Инчу-Чуна;Д'Артаньян и три мушкетёра;Атлантида Русского Севера;Три мушкетера: Подвески королевы;Три мушкетера: Месть миледи;Как три мушкетера;Как три мушкетера;Как три мушкетера;Как три мушкетера;Водопад Ангела;Водопад Ангела;Круиз по джунглям;На Байкал;13-й воин;Остров сокровищ;Граф Монте-Кристо;Одиссея капитана Блада"
Приключения запятой и точки;Приключения;Семейный;Поиски сокровищ;Новинки (2020–2025);7.659;259467;;7.1;0;;;;;;;;;;;;"Приключения Хомы;Золотая речка;Удивительные приключения Дениса Кораблева;Приключения Десперо;Пятерка кладоискателей;Приключения Буратино;Сокровище Амазонки;Том Сойер;Зов предков;Я иду искать;Зов волка;След тигра;Атлантида Русского Севера;Клад;Ван-Пис: Красный;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Либерея: Охотники за сокровищами;Мэрайа Мунди и шкатулка Мидаса;V Центурия. В поисках зачарованных сокровищ"
127 часов;Приключения;Биографический;Экстремальное выживание;Современное кино (2000–2020);7.654;484878;127 Hours;7.5;8.2;;;;;;;;;;;;"Альпинист;В диких условиях;Кон-Тики;Выживая с волками;Борьба со льдом;Выжившие;Затерянный город Z;В Арктику;Касаясь пустоты;Жизнь Пи;Выживший;Северная стена;Покорители волн;Выжить;Побег из Гулага;Игра на выживание;Эверест;В белом плену;В сердце моря;В лесах Сибири"
Виннету — сын Инчу-Чуна;Приключения;Исторический;Экзотические путешествия;Классика (до 2000 года);6.831;32386;Winnetou - 2. Teil;6.5;0;;;;;;;;;;;;"Неукротимая Анжелика;Идальго: Погоня в пустыне;Черное золото;На краю Земли;13-й воин;Остров сокровищ;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Золото Маккенны;Робин Гуд: Принц воров;Красная палатка;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела"
Сахара;Приключения;Боевик (Экшен);Поиски сокровищ;Современное кино (2000–2020);6.745;23048;Sahara;6.1;5.1;;;;;;;;;;;;"Приключения Тинтина: Тайна Единорога;Лара Крофт: Расхитительница гробниц;Tomb Raider: Лара Крофт;Сокровища О.К.;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Красное солнце;Человек из Рио;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Остров головорезов;Вольный ветер;Либерея: Охотники за сокровищами;Доспехи бога: В поисках сокровищ;Покорители волн;Игра на выживание;Во власти стихии"
Джунгли;Приключения;Драма;Экстремальное выживание;Современное кино (2000–2020);7.155;893843;Jungle;6.7;5.8;;;;;;;;;;;;"Касаясь пустоты;Жизнь Пи;Выживший;Северная стена;Выжить;Побег из Гулага;Эверест;В лесах Сибири;Идеальный шторм;Альфа;Жил-был тигр;Полет Феникса;Ледокол;Жажда странствий;Остаться в живых;Затерянные в Антарктиде;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль"
Зов волка;Приключения;Семейный;Экстремальное выживание;Новинки (2020–2025);6.496;1085318;Le chant du loup;6.9;6.2;;;;;;;;;;;;"Зов предков;Я иду искать;След тигра;Последний дюйм;Отважные капитаны;В белом плену;Далеко по соседству;Робинзон Крузо;Жизнь и удивительные приключения Робинзона Крузо;Приключения Кроша;Тарбозавр 3D;Приключения Хомы;Приключения запятой и точки;Золотая речка;Удивительные приключения Дениса Кораблева;Приключения Десперо;Пятерка кладоискателей;Затерянные в Антарктиде;Последний герой;Пропавшая экспедиция"
13-й воин;Приключения;Исторический;Исторические квесты;Классика (до 2000 года);7.433;10273;The 13th Warrior;6.6;4.7;;;;;;;;;;;;"Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела;Тайна королевы Анны, или Мушкетеры 30 лет спустя;Д'Артаньян и три мушкетера;Три мушкетера;Возвращение мушкетеров;Д'Артаньян и три мушкетёра;Братство волка;Три мушкетера: Подвески королевы;Три мушкетера: Месть миледи"
Затерянные в лесах;Приключения;Триллер;Экстремальное выживание;Новинки (2020–2025);6.416;674521;;0;0;;;;;;;;;;;;"Пропавшая экспедиция;Потерянный в снегах;Опасная природа;Над глубиной: Хроника выживания;В Арктику;Призрак и Тьма;Санктум;Выжившая;Затерянные в Антарктиде;Последний герой;Зов предков;72 градуса ниже нуля;Два капитана 2;Я иду искать;Затерянные во льдах;Зов волка;Борьба со льдом;Амазония: Инструкция по выживанию;След тигра;Школа выживания"
Альпинист;Приключения;Биографический;Экстремальное выживание;Современное кино (2000–2020);8.197;4518799;The Alpinist;7.9;0;;;;;;;;;;;;"127 часов;В диких условиях;Кон-Тики;Выживая с волками;Борьба со льдом;Выжившие;Затерянный город Z;В Арктику;Касаясь пустоты;Жизнь Пи;Выживший;Северная стена;Покорители волн;Выжить;Побег из Гулага;Игра на выживание;Эверест;В белом плену;В сердце моря;В лесах Сибири"
Человек из Рио;Приключения;Боевик (Экшен);Поиски сокровищ;Классика (до 2000 года);7.191;32387;L'homme de Rio;7;7.3;;;;;;;;;;;;"Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Красное солнце;Остров головорезов;Вольный ветер;Доспехи бога: В поисках сокровищ;Приключения Тинтина: Тайна Единорога;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Сахара;Лара Крофт: Расхитительница гробниц;Tomb Raider: Лара Крофт;Либерея: Охотники за сокровищами;Сокровища О.К.;Маска Зорро;Приключения «Посейдона»;Зорро"
Удивительные приключения Дениса Кораблева;Приключения;Семейный;Поиски сокровищ;Новинки (2020–2025);7.217;412076;;6.7;0;;;;;;;;;;;;"Приключения Хомы;Приключения запятой и точки;Золотая речка;Приключения Десперо;Пятерка кладоискателей;Приключения Буратино;Сокровище Амазонки;Том Сойер;Зов предков;Я иду искать;Зов волка;След тигра;Атлантида Русского Севера;Клад;Ван-Пис: Красный;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Либерея: Охотники за сокровищами;Мэрайа Мунди и шкатулка Мидаса;V Центурия. В поисках зачарованных сокровищ"
Три мушкетера: Подвески королевы;Приключения;Исторический;Исторические квесты;Новинки (2020–2025);7.38;64026;Les trois mousquetaires: Premi?re ?poque - Les ferrets de la reine;6.6;0;;;;;;;;;;;;"Д'Артаньян и три мушкетёра;Три мушкетера: Месть миледи;Как три мушкетера;Как три мушкетера;Как три мушкетера;Как три мушкетера;13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Братство волка;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Орел Девятого легиона"
Остров сокровищ;Приключения;Исторический;Поиски сокровищ;Классика (до 2000 года);8.284;573759;;8.1;0;;;;;;;;;;;;"Золото Маккенны;Граф Монте-Кристо;Атлантида Русского Севера;Сокровище нации;Сокровище;Сокровище нации: Книга Тайн;13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Неукротимая Анжелика;Красная палатка;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя"
Уроки выживания;Приключения;Драма;Экстремальное выживание;Новинки (2020–2025);4.9;957871;;5.4;0;;;;;;;;;;;;"Затерянные в Антарктиде;72 градуса ниже нуля;Остаться в живых;Касаясь пустоты;Жизнь Пи;Выживший;Голубая бездна;Северная стена;Только у ангелов есть крылья;Выжить;Побег из Гулага;Моби Дик;Вертикаль;Эверест;В лесах Сибири;Белый шквал;Джунгли;Идеальный шторм;Акваланги на дне;Альфа"
Приключения Аладдина;Приключения;Фэнтези;Поиски сокровищ;Классика (до 2000 года);5.451;1065112;Alad'2;3.8;0;;;;;;;;;;;;"Мумия;Аргонавты;Золотое путешествие Синдбада;Копи царя Соломона;Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Ван-Пис: Красный;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Мэрайа Мунди и шкатулка Мидаса"
Зорро;Приключения;Боевик (Экшен);Исторические квесты;Классика (до 2000 года);7.816;101095;Zorro;6.4;0;;;;;;;;;;;;"Маска Зорро;Одинокий рейнджер;Легенда Зорро;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Красное солнце;Приключения «Посейдона»;Человек из Рио;Пираты ХХ века;Смерч;Пик Данте;Остров головорезов;Вольный ветер;Доспехи бога: В поисках сокровищ;13-й воин;Неуловимые мстители;Неуловимые мстители 2: Новые приключения неуловимых"
Человек в железной маске;Приключения;Исторический;Исторические квесты;Классика (до 2000 года);7.288;6872;The Man in the Iron Mask;6.5;5.5;;;;;;;;;;;;"13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Стрелы Робин Гуда;Принц и нищий;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела;Тайна королевы Анны, или Мушкетеры 30 лет спустя;Д'Артаньян и три мушкетера;Три мушкетера;Возвращение мушкетеров;Д'Артаньян и три мушкетёра;Братство волка;Три мушкетера: Подвески королевы;Три мушкетера: Месть миледи"
