0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;20_похожих
Лекарство;Драма;Семейный;Грустное/Трагическое;Новинки (2020–2025);7.96;3633;The Cure;7.7;5.5;;;;;;;;;;;;"Светлячок;Вера;Когда наступает сентябрь...;Отец;Облако-рай;Монолог;В яранге горит огонь;Плакса;Серая Шейка;Кит;Дочь;На чужбине;Мать;Качели;Далекие близкие;Страна садов;Сашка;Осень;У озера;Мой любимый клоун"
Каран и Арджун;Драма;Семейный;Грустное/Трагическое;Классика (до 2000 года);7.996;77636;Karan Arjun;6.8;0;;;;;;;;;;;;"Рокко и его братья;Похитители велосипедов;Король Лир;Евдокия;Осенняя соната;Республика ШКИД;Чучело;Крамер против Крамера;Девочка со спичками;Что гложет Гилберта Грейпа?;Не стреляйте в белых лебедей;О мышах и людях;Дядя Ваня;Обыкновенные люди;Моя девочка;Иваново счастье;Пять легких пьес;Пядь земли;Комната Марвина;Сыновья Большой Медведицы"
Из Африки;Драма;Мелодрама;Вдохновляющее;Классика (до 2000 года);7.596;1895;Out of Africa;7.1;6.9;;;;;;;;;;;;"Общество мертвых поэтов;Умница Уилл Хантинг;Кинолюбитель;Жареные зеленые помидоры;Дни летные;Доктор;Стальные магнолии;Заклинатель лошадей;Поезд идет на восток;Экстаз;День счастья;Мгновения жизни;Почтальон;Молодая кровь;Компенсация;28 дней;Меня зовут Кхан;Хороший доктор;Голос улиц;Работа без авторства"
Вторая жизнь Гарольда Фрая;Драма;Мелодрама;Вдохновляющее;Новинки (2020–2025);7.531;4655411;The Unlikely Pilgrimage of Harold Fry;6.8;6.3;;;;;;;;;;;;"Голос улиц;Стартап;Чемпион;Небеса обетованные;Королевский гамбит;Примадонна;Купе номер 6;Фуэте;Вкус жизни;Тренер;Со дна вершины;Игра в четыре руки;Я счастливая;Молодые;Шестнадцатая весна;Паутинка бабьего лета;Белый лебедь;Ледяной драйв;Отвези меня домой;Квартет Гварнери"
Время отдыха с субботы до понедельника;Драма;Семейный;Философское;Классика (до 2000 года);7.061;45913;;6.9;0;;;;;;;;;;;;"Фанни и Александр;Доживем до понедельника;Друзья и годы;Раннее лето;Американская дочь;Егорушка;Развод Надера и Симин;Возвращение;Наследники;Дитя погоды;Успех;Отрочество;Капитан Фантастик;Урок литературы;Небраска;Камон Камон;Императорский клуб;О Шмидте;Еще один год;Возвращение домой"
Грязь;Драма;Приключения;Вдохновляющее;Современное кино (2000–2020);7.653;467293;Filth;7;6.2;;;;;;;;;;;;"Изгой;Дети Дон-Кихота;Арахисовый сокол;Третья звезда;Миллиард;Путь;В добрый час;Матч-реванш;Дикая собака Динго;Высота 89;Дальняя дорога;Белая стрела;Новости со всех концов света;Стрекоза;О друзьях-товарищах;Одиночное плавание;713-й просит посадку;Проигранное место;Объятия змея;Простые вещи"
Роль;Драма;Мелодрама;Грустное/Трагическое;Новинки (2020–2025);7.214;675500;;7;0;;;;;;;;;;;;"Архангельские новеллы;Послесловие;Судьба резидента;Молодая жена;Другая;Здорово и вечно;Сломленные;Нежный возраст;Мне бы в небо;Три истории;Онегин;Ожидания;Наша Наташа;Бедная Саша;Событие;Развод;Затишье;Приезжая;Метель;Ближний круг"
Сережа;Драма;Семейный;Вдохновляющее;Классика (до 2000 года);8.116;43700;;7.7;0;;;;;;;;;;;;"Человек дождя;На Золотом пруду;Человек без лица;Учитель пения;Середина 90-х;Хористы;Брат Баджранги;Гран Торино;CODA: Ребенок глухих родителей;Билли Эллиот;Маленькие женщины;Одаренная;Я — Сэм;Девочка из города;Мистер Черч;Заплати другому;Особенные;Ты не одинок;Свет вокруг;Исчезнувшее время: Мальчик, который вернулся"
Смерть и жизнь Джона Ф. Донована;Драма;Биографический;Грустное/Трагическое;Современное кино (2000–2020);6.82;843066;The Death & Life of John F. Donovan;6.1;3.7;;;;;;;;;;;;"3096 дней;12 лет рабства;Забивание камнями Сорайи М.;Обыкновенное сердце;Рестлер;Страсти Христовы;Малена;Юнайтед. Мюнхенская трагедия;Все еще Элис;Морфий;Бобби;Сначала они убили моего отца;Скандал;Кливлендские пленницы;Быть Флинном;Злое;Голод;На острие;Ночи в стиле буги;Прерванная жизнь"
Успех;Драма;Семейный;Философское;Новинки (2020–2025);7.881;42539;;7.6;0;;;;;;;;;;;;"Камон Камон;Время для размышлений;Разжимая кулаки;Развод Надера и Симин;Фанни и Александр;Доживем до понедельника;Возвращение;Наследники;Дитя погоды;Отрочество;Капитан Фантастик;Урок литературы;Небраска;Друзья и годы;Императорский клуб;О Шмидте;Еще один год;Возвращение домой;Время отдыха с субботы до понедельника;Коктебель"
Сибириада;Драма;Исторический;Философское;Классика (до 2000 года);8.203;43783;;7.9;8;;;;;;;;;;;;"Я — Куба;Покаяние;Конформист;Легенда о Нараяме;Нетерпимость;Непрощенный;Белая лента;Новый мир;Мюнхен;Герой нашего времени;Офицер и шпион;Вавилон;Молчание;Ида;Аноним;Власть страха;Мельница и крест;Безумцы;Палата №6;Тишина"
Человек без лица;Драма;Семейный;Вдохновляющее;Классика (до 2000 года);7.833;6314;The Man Without a Face;6.7;5.9;;;;;;;;;;;;"Человек дождя;Сережа;На Золотом пруду;Учитель пения;Середина 90-х;Хористы;Брат Баджранги;Гран Торино;CODA: Ребенок глухих родителей;Билли Эллиот;Маленькие женщины;Одаренная;Я — Сэм;Девочка из города;Мистер Черч;Заплати другому;Особенные;Ты не одинок;Свет вокруг;Исчезнувшее время: Мальчик, который вернулся"
Разоблачение;Драма;Детектив;Грустное/Трагическое;Современное кино (2000–2020);6.788;4569;Disclosure;6.2;6.2;;;;;;;;;;;;"Подмена;Загадочная кожа;В долине Эла;Долорес Клэйборн;Единожды солгав;Отголоски прошлого;Китайский сервиз;В центре внимания;12;Сомнение;Однажды в Анатолии;В доме;Миллион для чайников;3096 дней;25-й час;21 грамм;12 лет рабства;Чернобыль;Короткий срок 12;Капернаум"
На цепи;Драма;Семейный;Вдохновляющее;Новинки (2020–2025);6.181;597519;Chained;6.4;0;;;;;;;;;;;;"CODA: Ребенок глухих родителей;Девочка из города;Особенные;Ты не одинок;Свет вокруг;Исчезнувшее время: Мальчик, который вернулся;Дорога перемен;Палмер;Горечь и сладость;Слушая тишину;Вызов;Благочестивая Марта;От печали до радости;Еще вчера;Мой мальчик;Третий тайм;Минари;Я делаю шаг;Прошу слова;Тронутые"
Стукачка;Драма;Криминал;Грустное/Трагическое;Новинки (2020–2025);6.829;474883;The Whistleblower;7.1;6.5;;;;;;;;;;;;"Цвет шафрана;Родная кровь;Неподдающиеся;Колыбельная для брата;Дубравка;Опасный возраст;Мы еще здесь;Необстрелянные;Минута молчания;Испытание;Город мальчиков;Выскочка;Зимний путь;Хорошая женщина;Опекун;Заяц над бездной;Сторож;40;Зачинщики;Солнцепек"
У зеркала два лица;Драма;Мелодрама;Философское;Классика (до 2000 года);7.819;5152;The Mirror Has Two Faces;6.6;5.9;;;;;;;;;;;;"Идиот;Легенда о пианисте;Красота по-американски;Короткий фильм о любви;Белорусский вокзал;Три цвета: Красный;Ностальгия;Выпускник;Сто дней после детства;Девять дней одного года;Несколько дней из жизни И.И. Обломова;Жить своей жизнью;Магнолия;Асса;Аталанта;Мужское-женское;Три цвета: Белый;Дорогая Елена Сергеевна;Смерть в Венеции;Знахарь"
40;Драма;Криминал;Грустное/Трагическое;Новинки (2020–2025);6.233;280280;;0;0;;;;;;;;;;;;"Цвет шафрана;Родная кровь;Неподдающиеся;Колыбельная для брата;Дубравка;Опасный возраст;Мы еще здесь;Необстрелянные;Минута молчания;Испытание;Стукачка;Город мальчиков;Выскочка;Зимний путь;Хорошая женщина;Опекун;Заяц над бездной;Сторож;Зачинщики;Солнцепек"
Страсти Христовы;Драма;Биографический;Грустное/Трагическое;Современное кино (2000–2020);7.938;3707;The Passion of the Christ;7.3;6;;;;;;;;;;;;"3096 дней;12 лет рабства;Забивание камнями Сорайи М.;Обыкновенное сердце;Рестлер;Малена;Юнайтед. Мюнхенская трагедия;Все еще Элис;Морфий;Бобби;Сначала они убили моего отца;Скандал;Кливлендские пленницы;Смерть и жизнь Джона Ф. Донована;Быть Флинном;Злое;Голод;На острие;Ночи в стиле буги;Прерванная жизнь"
Обещание;Драма;Военный;Грустное/Трагическое;Современное кино (2000–2020);6.178;5059689;;0;0;;;;;;;;;;;;"Пожары;Мальчик в полосатой пижаме;Поводырь;Зло;Воровка книг;Как складывать флаг;Межа;Холодная гора;За последней чертой;Хайтарма;Я вас любил...;Франц;Блокпост;Сын Саула;Мусульманин;Два долгих гудка в тумане;Человек на своем месте;Дылда;Песня имен;Рай"
Хорошо быть тихоней;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);7.535;523248;The Perks of Being a Wallflower;7.9;7.4;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь;Ложь во спасение"
Кальмар и кит;Драма;Семейный;Грустное/Трагическое;Современное кино (2000–2020);6.714;61264;The Squid and the Whale;7.3;7.9;;;;;;;;;;;;"Короткий срок 12;Капернаум;Чудо в камере №7;Цирк «Бабочка»;День и ночь;Укрась прощальное утро цветами обещания;Невозможное;Моя земля;Переходный возраст;Магазинные воришки;Дорогой Фрэнки;Невидимые дети;Итальянец;Долгие проводы;Манчестер у моря;Нелюбовь;Мустанг;Белый олеандр;Мачеха;Елена"
Не оставляющий следа;Драма;Семейный;Философское;Современное кино (2000–2020);6.695;264021;Untraceable;6.2;4.3;;;;;;;;;;;;"Развод Надера и Симин;Возвращение;Наследники;Дитя погоды;Отрочество;Капитан Фантастик;Урок литературы;Небраска;Императорский клуб;О Шмидте;Еще один год;Возвращение домой;Коктебель;Хотел бы я быть здесь;Хэппи-энд;Детки в порядке;Древо жизни;Возвращение в А;Воришки;Зимний сон"
Паутинка бабьего лета;Драма;Мелодрама;Вдохновляющее;Новинки (2020–2025);6.276;634182;;0;0;;;;;;;;;;;;"Голос улиц;Стартап;Чемпион;Небеса обетованные;Вторая жизнь Гарольда Фрая;Королевский гамбит;Примадонна;Купе номер 6;Фуэте;Вкус жизни;Тренер;Со дна вершины;Игра в четыре руки;Я счастливая;Молодые;Шестнадцатая весна;Белый лебедь;Ледяной драйв;Отвези меня домой;Квартет Гварнери"
Дикая жизнь;Драма;Семейный;Грустное/Трагическое;Современное кино (2000–2020);6.778;1005852;Wildlife;6.8;7.7;;;;;;;;;;;;"Короткий срок 12;Капернаум;Чудо в камере №7;Цирк «Бабочка»;День и ночь;Укрась прощальное утро цветами обещания;Невозможное;Моя земля;Переходный возраст;Магазинные воришки;Дорогой Фрэнки;Невидимые дети;Итальянец;Долгие проводы;Манчестер у моря;Нелюбовь;Мустанг;Белый олеандр;Мачеха;Елена"
Испытание;Драма;Криминал;Грустное/Трагическое;Новинки (2020–2025);7.204;1234847;;0;0;;;;;;;;;;;;"Цвет шафрана;Родная кровь;Неподдающиеся;Колыбельная для брата;Дубравка;Опасный возраст;Мы еще здесь;Необстрелянные;Минута молчания;Стукачка;Город мальчиков;Выскочка;Зимний путь;Хорошая женщина;Опекун;Заяц над бездной;Сторож;40;Зачинщики;Солнцепек"
Палмер;Драма;Семейный;Вдохновляющее;Новинки (2020–2025);7.233;1202296;Palmer;7.3;6.3;;;;;;;;;;;;"CODA: Ребенок глухих родителей;Девочка из города;Особенные;Ты не одинок;Свет вокруг;Исчезнувшее время: Мальчик, который вернулся;Дорога перемен;Горечь и сладость;Слушая тишину;Вызов;Благочестивая Марта;От печали до радости;Еще вчера;Мой мальчик;Третий тайм;Минари;Я делаю шаг;Прошу слова;Тронутые;Почти семнадцать"
Путь к причалу;Драма;Криминал;Вдохновляющее;Классика (до 2000 года);7.559;43353;;7;0;;;;;;;;;;;;"Достучаться до небес;Цвет денег;Боксер;Поединок;Аврора;18-14;Дикая Лига;Учитель английского;Американская история Х;Убить пересмешника;Таксист;Ненависть;Холодное лето пятьдесят третьего;На игле;Бильярдист;Калина красная;Спящие;Полуночный ковбой;Мертвец;На дне"
Огненные колесницы;Драма;Исторический;Вдохновляющее;Классика (до 2000 года);6.797;7584;Chariots of Fire;7.1;7.8;;;;;;;;;;;;"Соль Земли;Председатель;Танцующий с волками;Укрощение огня;Первый учитель;Старое и новое (Генеральная линия);Прислуга;Гордость;Одиннадцать молчаливых мужчин;Император;Собор Парижской Богоматери;Харакири;Земля;Сибириада;Гамлет;Ран;Я — Куба;Тихий Дон;Девичий источник;Покаяние"
Шофер на один рейс;Драма;Триллер;Грустное/Трагическое;Новинки (2020–2025);7.172;331781;;6.5;0;;;;;;;;;;;;"Гнев;Ты не ты;Дьявол всегда здесь;Казнь;На краю стою;Дровосек;Иллюзия полета;Пласт;Вернуть сына;Мать за сына;Пучина;Гнездо;Дрейф;Джокер;Комната;Эксперимент 2: Волна;Дурное воспитание;Джон Кью;Преданный садовник;Что-то не так с Кевином"
Эскорт;Драма;Мелодрама;Грустное/Трагическое;Новинки (2020–2025);6.614;4920574;;5.1;0;;;;;;;;;;;;"Архангельские новеллы;Послесловие;Судьба резидента;Молодая жена;Другая;Здорово и вечно;Сломленные;Нежный возраст;Мне бы в небо;Три истории;Онегин;Ожидания;Наша Наташа;Роль;Бедная Саша;Событие;Развод;Затишье;Приезжая;Метель"
Остановился поезд;Драма;Криминал;Философское;Классика (до 2000 года);7.649;42814;;7.4;0;;;;;;;;;;;;"Американская история Х;Таксист;Мертвец;Свой человек;Братья Карамазовы;Правосудие для всех;Дикое сердце;Хозяин тайги;Непрощенная;Тело Христово;Плохой хороший человек;Джокер. Возмездие;Место под соснами;Признайте меня виновным;Изображая жертву;Цезарь должен умереть;Личное дело судьи Ивановой;Параноид парк;Духless 2;Меня это не касается"
Бобби;Драма;Биографический;Грустное/Трагическое;Современное кино (2000–2020);7.09;31918;Bobby;7;5.6;;;;;;;;;;;;"3096 дней;12 лет рабства;Забивание камнями Сорайи М.;Обыкновенное сердце;Рестлер;Страсти Христовы;Малена;Юнайтед. Мюнхенская трагедия;Все еще Элис;Морфий;Сначала они убили моего отца;Скандал;Кливлендские пленницы;Смерть и жизнь Джона Ф. Донована;Быть Флинном;Злое;Голод;На острие;Ночи в стиле буги;Прерванная жизнь"
Чужая ненависть;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);7.02;1049279;The Hate U Give;7.5;8.2;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Левиафан"
Обет молчания;Драма;Исторический;Философское;Современное кино (2000–2020);6.469;1009473;Acts of Vengeance;5.7;6.3;;;;;;;;;;;;"Белая лента;Новый мир;Мюнхен;Офицер и шпион;Молчание;Ида;Аноним;Мельница и крест;Безумцы;Палата №6;Тишина;Иерей-сан. Исповедь самурая;Звезда сцены;Сибириада;Я — Куба;Покаяние;Конформист;Легенда о Нараяме;Нетерпимость;Герой нашего времени"
Ранэвэйс;Драма;Приключения;Грустное/Трагическое;Современное кино (2000–2020);7.169;309500;The Runaways;6.5;6.1;;;;;;;;;;;;"Айка;Венди и Люси;И грянул шторм;Вас вызывает Таймыр;Прерванный полет;Двое;Утонуть на суше;В одиночестве;Изгой;Дети Дон-Кихота;Арахисовый сокол;Объятия змея;Третья звезда;Грязь;Простые вещи;Тотем волка;На дороге;Дороги;Дальнобойщик;Миллиард"
Ложное искушение;Драма;Триллер;Философское;Новинки (2020–2025);6.174;6869;The Good Shepherd;6.7;6.2;;;;;;;;;;;;"Перевод с американского;Бойцовский клуб;Жизнь других;Персона;Догвилль;Профессия: Репортер;Матч Поинт;Персонаж;С широко закрытыми глазами;Второй шанс;Венера в мехах;Мартовские иды;Пылающий;Грех;Как я провел этим летом;Внутренняя империя;Иррациональный человек;Зильс-Мария;Волна;Европа"
Солнечный удар;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);5.854;586308;;5.8;0;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Пианистка;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);7.216;784;La Pianiste;7.5;7.1;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Королева сердец;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);6.29;1166972;Dronningen;7;7.7;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Опасный возраст;Драма;Криминал;Грустное/Трагическое;Новинки (2020–2025);7.657;84460;;6.9;0;;;;;;;;;;;;"Цвет шафрана;Родная кровь;Неподдающиеся;Колыбельная для брата;Дубравка;Мы еще здесь;Необстрелянные;Минута молчания;Испытание;Стукачка;Город мальчиков;Выскочка;Зимний путь;Хорошая женщина;Опекун;Заяц над бездной;Сторож;40;Зачинщики;Солнцепек"
Белая стрела;Драма;Приключения;Вдохновляющее;Новинки (2020–2025);7.058;396939;;6.3;0;;;;;;;;;;;;"Матч-реванш;Высота 89;Новости со всех концов света;Стрекоза;Одиночное плавание;Проигранное место;Изгой;Дети Дон-Кихота;В добрый час;Арахисовый сокол;Третья звезда;Дикая собака Динго;Грязь;Дальняя дорога;О друзьях-товарищах;713-й просит посадку;Миллиард;Путь;Вас вызывает Таймыр;Прерванный полет"
Девственницы-самоубийцы;Драма;Мелодрама;Грустное/Трагическое;Классика (до 2000 года);7.049;7311;The Virgin Suicides;7.2;7.1;;;;;;;;;;;;"Студия 54;Анюта;Жестокий романс;Уроки французского;Кто боится Вирджинии Вульф?;Кабаре;Тени забытых предков;Простая история;Неоконченная пьеса для механического пианино;Белые росы;Слезы капали;Рассекая волны;Доктор Живаго;Дни вина и роз;Филадельфия;Все о моей матери;Когда деревья были большими;Три цвета: Синий;Евгений Онегин;Девушка на мосту"
Полеты во сне и наяву;Драма;Фантастика;Философское;Классика (до 2000 года);7.851;43114;;7.5;0;;;;;;;;;;;;"Шоу Трумана;Кояанискатси;Жертвоприношение;Человек родился;Восемь с половиной;Восемь с половиной долларов;Телеведущий;Загадочная история Бенджамина Баттона;Пробуждение жизни;Небесный суд;Меланхолия;Бумажный солдат;Слепота;Это все он;4;Вечная жизнь Александра Христофорова;Интервью с Богом;Под электрическими облаками;Белый шум;Высотка"
Расемон;Драма;Детектив;Философское;Классика (до 2000 года);6.129;257927;;6.9;0;;;;;;;;;;;;"12 разгневанных мужчин;Пикник у Висячей скалы;Преступление и наказание;12;Я — начало;Сомнение;Однажды в Анатолии;В доме;Анатомия падения;Лабиринты прошлого;Чудовище;Долорес Клэйборн;Шахматист;Единожды солгав;Китайский сервиз;Бойцовский клуб;Идиот;Американская история Х;Барака;Дерсу Узала"
Жестяной барабан;Драма;Военный;Философское;Классика (до 2000 года);7.68;28521;Die Blechtrommel;7.4;7.5;;;;;;;;;;;;"Апокалипсис;Иду на грозу;Лакомб Люсьен;Комиссар;Меченый атом;Мысли о свободе;Остров;Александра;Сало, или 120 дней Содома;Жизнь прекрасна;История;Могила светлячков;Судьба человека;Запах женщины;Бег;Охотник на оленей;Зимнее утро;Дни Турбиных;Нити;Чочара"
Я убил свою маму;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);7.36;463781;J'ai tu? ma m?re;7.4;7.1;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Персона;Драма;Триллер;Философское;Классика (до 2000 года);7.935;79506;Persona;8;9.1;;;;;;;;;;;;"Бойцовский клуб;Профессия: Репортер;Персонаж;С широко закрытыми глазами;Европа;Жизнь других;Догвилль;Матч Поинт;Второй шанс;Венера в мехах;Мартовские иды;Пылающий;Грех;Как я провел этим летом;Внутренняя империя;Иррациональный человек;Зильс-Мария;Волна;Ложное искушение;В ожидании варваров"
Компенсация;Драма;Мелодрама;Вдохновляющее;Классика (до 2000 года);6.194;468244;;6.1;0;;;;;;;;;;;;"Общество мертвых поэтов;Умница Уилл Хантинг;Кинолюбитель;Жареные зеленые помидоры;Дни летные;Доктор;Стальные магнолии;Из Африки;Заклинатель лошадей;Поезд идет на восток;Экстаз;День счастья;Мгновения жизни;Почтальон;Молодая кровь;28 дней;Меня зовут Кхан;Хороший доктор;Голос улиц;Работа без авторства"
Эйфория;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);7.492;1178445;Euphoria;8.2;0;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь;Ложь во спасение"
