0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Упс! Ной уплыл...;Семейный;Комедия;Истории с животными;Современное кино (2000–2020);6.241;823073;Ooops! Noah Is Gone...;5.8;4.5;;;;;;;;;;"102 далматинца;Зверополис;Рататуй;Бесподобный мистер Фокс;Верните Рекса;Пес Барбос и необычный кросс;Цыпленок Цыпа;Кунг-фу Панда;Кунг-Фу Панда;Рыжий пес;Барашек Шон;Тайная жизнь;Марли и я;Маша и Медведь;Мы купили зоопарк;Уоллес и Громит: Проклятие кролика-оборотня;Ледниковый период 2: Глобальное потепление;Зверопой;Барашек Шон: Фермагеддон;Кролик Питер"
Лесной воин;Семейный;Фэнтези;Детские приключения;Классика (до 2000 года);6.173;198891;Forest Warrior;3.7;0;;;;;;;;;;"Праздник новогодней елки;Мой сосед Тоторо;Вилли Вонка и шоколадная фабрика;Красавица и чудовище;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Русалочка;Сказка о рыбаке и рыбке;Двенадцать месяцев;Белоснежка и семь гномов;Снежная королева;Конек-Горбунок;Анастасия;Сказка о царе Салтане;Петя и Красная Шапочка;Мэри Поппинс;Сказка о мертвой царевне и семи богатырях;Золушка"
Призрачный патруль;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);6.382;462454;R.I.P.D.;5.6;3.7;;;;;;;;;;"Летучий корабль;Приключения домовенка;Дед Мороз и Серый волк;Когда я стану великаном;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Лука;В некотором царстве…;Дикие лебеди;Ореховый прутик;Вперёд;Три богатыря и Конь на троне;Вперед;Иван Царевич и Серый Волк 5;Голос монстра;Необыкновенная история на Рождество;Баранкин, будь человеком!;Мечты сбываются!;Братья Супер Марио в кино"
Барашек Шон;Семейный;Комедия;Истории с животными;Современное кино (2000–2020);7.402;762778;Shaun the Sheep Movie;7.3;8.1;;;;;;;;;;"102 далматинца;Зверополис;Рататуй;Бесподобный мистер Фокс;Верните Рекса;Пес Барбос и необычный кросс;Цыпленок Цыпа;Кунг-фу Панда;Кунг-Фу Панда;Рыжий пес;Тайная жизнь;Марли и я;Маша и Медведь;Мы купили зоопарк;Уоллес и Громит: Проклятие кролика-оборотня;Ледниковый период 2: Глобальное потепление;Зверопой;Барашек Шон: Фермагеддон;Кролик Питер;Благодаря Винн Дикси"
My Little Pony в кино;Семейный;Фэнтези;Детские приключения;Современное кино (2000–2020);7.111;928612;My Little Pony: The Movie;6.1;5.2;;;;;;;;;;"Клаус;Песнь моря;В стране невыученных уроков;Мэри Поппинс, до свидания;Рыбка Поньо на утесе;Возвращение домовенка;Щелкунчик;Маленький принц;Ариэтти из страны лилипутов;Рапунцель: Запутанная История;Рапунцель: Счастлива навсегда;Капризная принцесса;Хранители снов;Холодное сердце;Мост в Терабитию;Алеша Попович и Тугарин Змей;Добрыня Никитич и Змей Горыныч;Книга жизни;Феи: Легенда о чудовище;Кристофер Робин"
Бесподобный мистер Фокс;Семейный;Комедия;Истории с животными;Современное кино (2000–2020);7.981;86621;Fantastic Mr. Fox;7.9;7.9;;;;;;;;;;"102 далматинца;Зверополис;Рататуй;Верните Рекса;Пес Барбос и необычный кросс;Цыпленок Цыпа;Кунг-фу Панда;Кунг-Фу Панда;Рыжий пес;Барашек Шон;Тайная жизнь;Марли и я;Маша и Медведь;Мы купили зоопарк;Уоллес и Громит: Проклятие кролика-оборотня;Ледниковый период 2: Глобальное потепление;Зверопой;Барашек Шон: Фермагеддон;Кролик Питер;Благодаря Винн Дикси"
Сказка о рыбаке и рыбке;Семейный;Фэнтези;Детские приключения;Классика (до 2000 года);8.093;438329;;7.5;0;;;;;;;;;;"Праздник новогодней елки;Мой сосед Тоторо;Вилли Вонка и шоколадная фабрика;Красавица и чудовище;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Русалочка;Двенадцать месяцев;Белоснежка и семь гномов;Снежная королева;Конек-Горбунок;Анастасия;Сказка о царе Салтане;Петя и Красная Шапочка;Мэри Поппинс;Сказка о мертвой царевне и семи богатырях;Золушка;Вилли Вонка и шоколадная фабрика"
Джунгли зовут! В поисках Марсупилами;Семейный;Приключения;Истории с животными;Новинки (2020–2025);6.316;566355;Sur la piste du Marsupilami;5.5;0;;;;;;;;;;"Медведи Камчатки. Начало жизни;Тигренок на подсолнухе;Город кошек;Как львенок и черепаха пели песню;Мишка на севере;Храбрый заяц;Земля медведей;Оранжевое горлышко;Девочка и крокодил;Мы — одна команда;Пограничный пес Алый;Далеко - далеко;Букашки. Приключение в Долине муравьев;Волк и Лев;Слоны — мои друзья;Миграция;Маленькая рыбка;Невероятные приключения кота;Волшебный парк Джун;Удивительное путешествие доктора Дулиттла"
Отцы и деды;Семейный;Военный;Межпоколенческие драмы;Новинки (2020–2025);8.289;25079;;7.1;0;;;;;;;;;;"Я родом из детства;Душа;Белая птица. Новое чудо;Папа;Энканто;История семьи Блум;Мой добрый папа;Свои дети;Мой маленький ангел;Отцовство;У Бога свои планы;Самое главное;Голоса большой страны;Тайна Коко;Звуки музыки;Чудо;Волчьи дети Амэ и Юки;Воспоминания о Марни;Радости и печали маленького лорда;Подержанные львы"
Неисправимый Рон;Семейный;Комедия;Семейные комедии;Новинки (2020–2025);7.615;1057873;Ron's Gone Wrong;7.1;6.7;;;;;;;;;;"По семейным обстоятельствам;Большая семья;Мой ужасный сосед;Моя ужасная сестра;Мой друг мистер Персиваль;Воскресный папа;Добро пожаловать к Райли;Барбоскины на даче;Привет семье!;Миньоны: Грювитация;Босс-молокосос 2;Подарок на Рождество;Монстры на каникулах: Трансформания;Смешарики. Начало;Неваляшка;Семейное ограбление;Семейка с приветом: Миллионы по ветру;Здравствуй, Дедушка Мороз!;Моя безумная семья;Семейка Аддамс: Горящий тур"
Карлик Нос;Семейный;Фэнтези;Детские приключения;Классика (до 2000 года);7.409;50946;;6.7;0;;;;;;;;;;"Праздник новогодней елки;Мой сосед Тоторо;Вилли Вонка и шоколадная фабрика;Красавица и чудовище;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Вилли Вонка и шоколадная фабрика;Русалочка;Сказка о рыбаке и рыбке;Двенадцать месяцев;Белоснежка и семь гномов;Снежная королева;Конек-Горбунок;Анастасия;Сказка о царе Салтане;Петя и Красная Шапочка;Мэри Поппинс;Сказка о мертвой царевне и семи богатырях;Золушка"
Феи: Тайна зимнего леса;Семейный;Фэнтези;Детские приключения;Современное кино (2000–2020);7.422;409220;Secret of the Wings;7;5.4;;;;;;;;;;"Клаус;Песнь моря;В стране невыученных уроков;Мэри Поппинс, до свидания;Рыбка Поньо на утесе;Возвращение домовенка;Щелкунчик;Маленький принц;Ариэтти из страны лилипутов;Рапунцель: Запутанная История;Рапунцель: Счастлива навсегда;Капризная принцесса;Хранители снов;Холодное сердце;Мост в Терабитию;Алеша Попович и Тугарин Змей;Добрыня Никитич и Змей Горыныч;Книга жизни;Феи: Легенда о чудовище;Кристофер Робин"
Когда я стану великаном;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);8.09;44849;;7.4;0;;;;;;;;;;"Летучий корабль;Приключения домовенка;Дед Мороз и Серый волк;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Лука;В некотором царстве…;Дикие лебеди;Ореховый прутик;Вперёд;Три богатыря и Конь на троне;Вперед;Иван Царевич и Серый Волк 5;Голос монстра;Необыкновенная история на Рождество;Баранкин, будь человеком!;Мечты сбываются!;Братья Супер Марио в кино;Человечка нарисовал я"
Санта Лапус 2: Санта лапушки;Семейный;Фэнтези;Истории с животными;Современное кино (2000–2020);6.169;694391;Santa Paws 2: The Santa Pups;4.7;0;;;;;;;;;;"Жил-был пес;Как приручить дракона;Медвежья история;Собачья жизнь 2;Драконы: Подарок ночной фурии;Как приручить дракона 3;Братец медвежонок;Кунг-Фу Панда: Загадки свитка;Франкенвини;Монстр в Париже;Хортон;Драконы: Гонки бесстрашных. Начало;Паутина Шарлотты;Как приручить дракона 2;Иван Царевич и Серый Волк 2;Братец медвежонок 2: Лоси в бегах;100% волк;Ежик в тумане;Кот в сапогах 2: Последнее желание;Пес в сапогах"
Полярный экспресс;Семейный;Фэнтези;Детские приключения;Современное кино (2000–2020);7.169;3755;The Polar Express;6.6;6.4;;;;;;;;;;"Клаус;Песнь моря;В стране невыученных уроков;Мэри Поппинс, до свидания;Рыбка Поньо на утесе;Возвращение домовенка;Щелкунчик;Маленький принц;Ариэтти из страны лилипутов;Рапунцель: Запутанная История;Рапунцель: Счастлива навсегда;Капризная принцесса;Хранители снов;Холодное сердце;Мост в Терабитию;Алеша Попович и Тугарин Змей;Добрыня Никитич и Змей Горыныч;Книга жизни;Феи: Легенда о чудовище;Кристофер Робин"
Миграция;Семейный;Приключения;Истории с животными;Новинки (2020–2025);7.19;4878248;Migration;6.6;6.3;;;;;;;;;;"Медведи Камчатки. Начало жизни;Тигренок на подсолнухе;Город кошек;Как львенок и черепаха пели песню;Мишка на севере;Храбрый заяц;Земля медведей;Оранжевое горлышко;Девочка и крокодил;Мы — одна команда;Пограничный пес Алый;Далеко - далеко;Букашки. Приключение в Долине муравьев;Волк и Лев;Слоны — мои друзья;Маленькая рыбка;Невероятные приключения кота;Волшебный парк Джун;Удивительное путешествие доктора Дулиттла;Джунгли зовут! В поисках Марсупилами"
Монстр-Траки;Семейный;Фантастика;Детские приключения;Современное кино (2000–2020);5.874;784331;Monster Trucks;5.7;4.6;;;;;;;;;;"Планета 51;ВАЛЛ·И;Корпорация Монстров;Корпорация монстров;Ральф;Город героев;В гости к Робинсонам;Дом;Роботы;Город Эмбер: Побег;Монстры против пришельцев;История игрушек: Большой побег;Фиксики: Большой секрет;Последняя Мимзи Вселенной;Побег с планеты Земля;Наследники 2;Дети шпионов 3: Игра окончена;Стальной гигант;Спасти планету;Приключения Электроника"
Семейка бигфутов;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);7.627;1371715;Bigfoot Family;5.8;0;;;;;;;;;;"Летучий корабль;Приключения домовенка;Дед Мороз и Серый волк;Когда я стану великаном;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Лука;В некотором царстве…;Дикие лебеди;Ореховый прутик;Вперёд;Три богатыря и Конь на троне;Вперед;Иван Царевич и Серый Волк 5;Голос монстра;Необыкновенная история на Рождество;Баранкин, будь человеком!;Мечты сбываются!;Братья Супер Марио в кино"
Цыпленок Цыпа;Семейный;Комедия;Истории с животными;Современное кино (2000–2020);7.686;1040563;;0;0;;;;;;;;;;"102 далматинца;Зверополис;Рататуй;Бесподобный мистер Фокс;Верните Рекса;Пес Барбос и необычный кросс;Кунг-фу Панда;Кунг-Фу Панда;Рыжий пес;Барашек Шон;Тайная жизнь;Марли и я;Маша и Медведь;Мы купили зоопарк;Уоллес и Громит: Проклятие кролика-оборотня;Ледниковый период 2: Глобальное потепление;Зверопой;Барашек Шон: Фермагеддон;Кролик Питер;Благодаря Винн Дикси"
Два брата;Семейный;Приключения;Истории с животными;Современное кино (2000–2020);7.943;8905;Deux fr?res;7;6.6;;;;;;;;;;"Земля: Один потрясающий день;Мама для мамонтенка;Остров собак;Океаны;Эрнест и Селестина: Приключения мышки и медведя;Ледниковый период;Приключения пингвиненка Лоло;Спирит: Душа прерий;Приключения Реми;Голубой щенок;Белль и Себастьян;Белль и Себастьян: приключения продолжаются;Мадагаскар;Миа и белый лев;В поисках Дори;Приключения Паддингтона;Фердинанд;Рио;Ледниковый период 3: Эра динозавров;Девочка и лисенок"
Маша и медведь. Героями не рождаются;Семейный;Приключения;Детские приключения;Новинки (2020–2025);7.34;478491;;7.3;0;;;;;;;;;;"Варежка;Страна игрушек;Мартынко;Фантик;Легенды Орленка;Артек. Большое путешествие;Потерянный орех;Ловцы забытых голосов;Зеленый огонек;Новые приключения Дони и Микки;Царевич Проша;Барабаниада;Ищите маму;Олли и сокровища пиратов;Снежная пятерка;Айнбо. Сердце Амазонии;Побег за мечтой;Маша и море;Три богатыря и принцесса Египта;Необыкновенное путешествие Серафимы"
Приключения домовенка;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);8.191;418414;;7.6;0;;;;;;;;;;"Летучий корабль;Дед Мороз и Серый волк;Когда я стану великаном;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Лука;В некотором царстве…;Дикие лебеди;Ореховый прутик;Вперёд;Три богатыря и Конь на троне;Вперед;Иван Царевич и Серый Волк 5;Голос монстра;Необыкновенная история на Рождество;Баранкин, будь человеком!;Мечты сбываются!;Братья Супер Марио в кино;Человечка нарисовал я"
Семейное счастье;Семейный;Мелодрама;Межпоколенческие драмы;Современное кино (2000–2020);6.711;7519124;;6.7;0;;;;;;;;;;"Тайна Коко;Чудо;Волчьи дети Амэ и Юки;Воспоминания о Марни;Радости и печали маленького лорда;Подержанные львы;Летние войны;Чудеса с небес;Мирай из будущего;Отважная;Прорыв;Она и ее кот;Душа;Звуки музыки;Белая птица. Новое чудо;Отцы и деды;Папа;Энканто;История семьи Блум;Я родом из детства"
Храбрый заяц;Семейный;Приключения;Истории с животными;Новинки (2020–2025);7.881;257941;;7.1;0;;;;;;;;;;"Медведи Камчатки. Начало жизни;Тигренок на подсолнухе;Город кошек;Как львенок и черепаха пели песню;Мишка на севере;Земля медведей;Оранжевое горлышко;Девочка и крокодил;Мы — одна команда;Пограничный пес Алый;Далеко - далеко;Букашки. Приключение в Долине муравьев;Волк и Лев;Слоны — мои друзья;Миграция;Маленькая рыбка;Невероятные приключения кота;Волшебный парк Джун;Удивительное путешествие доктора Дулиттла;Джунгли зовут! В поисках Марсупилами"
Ночь в музее;Семейный;Фэнтези;Детские приключения;Современное кино (2000–2020);7.037;178580;Night at the Museum;6.5;5.2;;;;;;;;;;"Клаус;Песнь моря;В стране невыученных уроков;Мэри Поппинс, до свидания;Рыбка Поньо на утесе;Возвращение домовенка;Щелкунчик;Маленький принц;Ариэтти из страны лилипутов;Рапунцель: Запутанная История;Рапунцель: Счастлива навсегда;Капризная принцесса;Хранители снов;Холодное сердце;Мост в Терабитию;Алеша Попович и Тугарин Змей;Добрыня Никитич и Змей Горыныч;Книга жизни;Феи: Легенда о чудовище;Кристофер Робин"
Классный мюзикл;Семейный;Комедия;Семейные комедии;Современное кино (2000–2020);7.052;184432;High School Musical;5.6;5.7;;;;;;;;;;"Гадкий я;Семейный портрет в интерьере;Тачки;Университет монстров;Семейка Аддамс;Лимонадный рот;Аисты;Рамона и Бизус;Шрэк: Хэллоуин;Семейка монстров;Лига монстров;Семейный уик-энд;Папина дочка;Паспорт в Париж;Гномео и Джульетта;Маша;Семейка вампиров;Camp Rock: Музыкальные каникулы;Малыш Кид;Ханна Монтана: Кино"
Подержанные львы;Семейный;Комедия;Межпоколенческие драмы;Современное кино (2000–2020);7.782;7183;Secondhand Lions;7.5;6.1;;;;;;;;;;"Мой добрый папа;102 далматинца;Зверополис;Головоломка;Рататуй;Бесподобный мистер Фокс;Верните Рекса;Пес Барбос и необычный кросс;Цыпленок Цыпа;Кунг-фу Панда;Кунг-Фу Панда;Гадкий я;Рыжий пес;Семейный портрет в интерьере;Маленький Николя;Барашек Шон;Тайная жизнь;Лего Фильм;Тачки;Университет монстров"
Барашек Шон: Фермагеддон;Семейный;Комедия;Истории с животными;Современное кино (2000–2020);7.436;1022373;A Shaun the Sheep Movie: Farmageddon;6.8;7.5;;;;;;;;;;"102 далматинца;Зверополис;Рататуй;Бесподобный мистер Фокс;Верните Рекса;Пес Барбос и необычный кросс;Цыпленок Цыпа;Кунг-фу Панда;Кунг-Фу Панда;Рыжий пес;Барашек Шон;Тайная жизнь;Марли и я;Маша и Медведь;Мы купили зоопарк;Уоллес и Громит: Проклятие кролика-оборотня;Ледниковый период 2: Глобальное потепление;Зверопой;Кролик Питер;Благодаря Винн Дикси"
Медведь;Семейный;Приключения;Истории с животными;Классика (до 2000 года);7.683;4481731;The Bear;8.5;0;;;;;;;;;;"Король Лев;Лисенок Вук;Мышонок Пик;Умка;Храбрый олененок;Рикки-Тикки-Тави;Умка ищет друга;Балто;Маугли;101 далматинец;Коты-аристократы;Дорога домой: Невероятное путешествие;Котенок с улицы Лизюкова;Приключения Флика;Доктор Айболит и его звери;Национальный бархат;Все псы попадают в рай;Белый клык;Лягушка-путешественница;Книга джунглей"
Моя ужасная няня;Семейный;Фэнтези;Семейные комедии;Современное кино (2000–2020);7.126;77427;Nanny McPhee;6.6;6.7;;;;;;;;;;"Шрэк;Монстры на каникулах;Зачарованная;Гринч;Странная жизнь Тимоти Грина;Шрэк навсегда;Гринч — похититель Рождества;Шрэк Третий;Шрэк 2;Санта Клаус 2;Санта Клаус 3;Рождественская история Микки;Элементарно;Жили-были старик со старухой;Иван Царевич и Серый Волк 4;Чаклун и Румба;Жил-был пес;Тайна Коко;Клаус;Как приручить дракона"
Аэротачки;Семейный;Приключения;Детские приключения;Современное кино (2000–2020);4.062;648779;Sky Force 3D;3.2;0;;;;;;;;;;"Вверх;В поисках Немо;Пластилиновая ворона;Без семьи;Моана;Семейка Крудс;Новогодние приключения Маши и Вити;Динозавр;Разрушитель;Хороший динозавр;Феи: Загадка пиратского острова;Приключения мистера Пибоди и Шермана;Чук и Гек. Большое приключение;Олаф и холодное приключение;История игрушек 4;Самолеты: Огонь и вода;Мулан 2;Дора и Затерянный город;Путешествие к рождественской звезде;Самолеты"
Волк и семеро козлят на новый лад;Семейный;Фэнтези;Истории с животными;Новинки (2020–2025);7.317;45826;;7;0;;;;;;;;;;"100% волк;Кот в сапогах 2: Последнее желание;Пес в сапогах;Голос;Изумительный Морис;Кот Гром и заколдованный дом;Маленькая мисс Дулиттл;Школа магических зверей. Тайна Подземелья;Подарок с характером;Заклинательница акул;СуперБобровы: Народные мстители;Кот;Жил-был пес;Как приручить дракона;Ежик в тумане;Гадкий утёнок;Медвежья история;Золотая антилопа;Собачья жизнь 2;Драконы: Подарок ночной фурии"
Таинственный сад;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);7.055;737900;The Secret Garden;5.6;6.1;;;;;;;;;;"Летучий корабль;Приключения домовенка;Дед Мороз и Серый волк;Когда я стану великаном;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Лука;В некотором царстве…;Дикие лебеди;Ореховый прутик;Вперёд;Три богатыря и Конь на троне;Вперед;Иван Царевич и Серый Волк 5;Голос монстра;Необыкновенная история на Рождество;Баранкин, будь человеком!;Мечты сбываются!;Братья Супер Марио в кино"
Три богатыря и Наследница престола;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);7.181;1113014;;5.6;0;;;;;;;;;;"Летучий корабль;Приключения домовенка;Дед Мороз и Серый волк;Когда я стану великаном;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Лука;В некотором царстве…;Дикие лебеди;Ореховый прутик;Вперёд;Три богатыря и Конь на троне;Вперед;Иван Царевич и Серый Волк 5;Голос монстра;Необыкновенная история на Рождество;Баранкин, будь человеком!;Мечты сбываются!;Братья Супер Марио в кино"
Энканто;Семейный;Фэнтези;Межпоколенческие драмы;Новинки (2020–2025);7.484;775278;Encanto;7.2;7.5;;;;;;;;;;"Белая птица. Новое чудо;Тайна Коко;Волчьи дети Амэ и Юки;Воспоминания о Марни;Отважная;Мумия: Принц Египта;100% волк;Летучий корабль;Приключения домовенка;Дед Мороз и Серый волк;Кот в сапогах 2: Последнее желание;Пес в сапогах;Когда я стану великаном;Бука. Мое любимое чудище;Райя и последний дракон;Дед Мороз и лето;Элементарно;Лука;В некотором царстве…;Дикие лебеди"
Лягушка-путешественница;Семейный;Приключения;Истории с животными;Классика (до 2000 года);7.316;257971;;7.1;0;;;;;;;;;;"Король Лев;Медведь;Лисенок Вук;Мышонок Пик;Умка;Храбрый олененок;Рикки-Тикки-Тави;Умка ищет друга;Балто;Маугли;101 далматинец;Коты-аристократы;Дорога домой: Невероятное путешествие;Котенок с улицы Лизюкова;Приключения Флика;Доктор Айболит и его звери;Национальный бархат;Все псы попадают в рай;Белый клык;Книга джунглей"
Семейка вампиров;Семейный;Комедия;Семейные комедии;Современное кино (2000–2020);6.279;687197;Die Vampirschwestern;5.6;0;;;;;;;;;;"Гадкий я;Семейный портрет в интерьере;Тачки;Университет монстров;Семейка Аддамс;Лимонадный рот;Аисты;Рамона и Бизус;Шрэк: Хэллоуин;Семейка монстров;Классный мюзикл;Лига монстров;Семейный уик-энд;Папина дочка;Паспорт в Париж;Гномео и Джульетта;Маша;Camp Rock: Музыкальные каникулы;Малыш Кид;Ханна Монтана: Кино"
Замбезия;Семейный;Приключения;Истории с животными;Современное кино (2000–2020);6.259;470993;Zambezia;5.7;5.2;;;;;;;;;;"Земля: Один потрясающий день;Мама для мамонтенка;Остров собак;Океаны;Эрнест и Селестина: Приключения мышки и медведя;Ледниковый период;Приключения пингвиненка Лоло;Спирит: Душа прерий;Приключения Реми;Голубой щенок;Два брата;Белль и Себастьян;Белль и Себастьян: приключения продолжаются;Мадагаскар;Миа и белый лев;В поисках Дори;Приключения Паддингтона;Фердинанд;Рио;Ледниковый период 3: Эра динозавров"
