0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Тысяча слов;Комедия;Фэнтези;Абсурд/Сюр;Современное кино (2000–2020);6.903;395709;A Thousand Words;5.9;3.2;;;;;;;;;;"Снова 16;Южный Парк: Воображляндия;Фантазии Фарятьева;Похождения императора;Брюс Всемогущий;Монах и бес;Человек — швейцарский нож;Небесные жены луговых мари;Фея;Спасибо за обмен;Лучший друг;Черный рыцарь;Сын маски;Тот самый Мюнхгаузен;Монти Пайтон и священный Грааль;Вечера на хуторе близ Диканьки;Смысл жизни по Монти Пайтону;Если все;Аризонская мечта;Маска"
Доля ангелов;Комедия;Криминал;Абсурд/Сюр;Современное кино (2000–2020);6.912;590430;The Angels' Share;7;7.1;;;;;;;;;;"Братан Мунна: Продавец счастья;Нечего терять;Это мы не проходили;Мы - Миллеры;Полный облом;Авария — дочь мента;Ананасовый экспресс: Сижу, курю;Копы в юбках;Копы в глубоком запасе;Ван Гоги;Полицейский с Рублевки. Новогодний беспредел;Пластик;Даже не думай!;Дом большой мамочки;Гамбит;Высший балл;На игре;Глухарь в кино;Дурдом на колесах;Красотка в ударе"
Ресторан господина Септима;Комедия;Ужасы;Чёрная комедия;Новинки (2020–2025);7.657;81475;Le grand restaurant;6.7;0;;;;;;;;;;"Мир входящему;Календарь ма(й)я;Если свекровь — монстр…;Призрачная шестерка;Парень с нашего кладбища;Русский бес;Моя девушка — зомби;Чертов мобильник;Добро пожаловать в Зомбилэнд;Зомби по имени Шон;Добро пожаловать в Zомбилэнд;Zомбилэнд: Контрольный выстрел;Мой парень — ангел;Голоса;Скауты против зомби;Мертвые не умирают;Горько!;Убойный уикенд;Нина навсегда;Дрожь земли 3"
Балбесы;Комедия;Семейный;Семейная;Классика (до 2000 года);7.124;3926;The Goonies;7.7;6.6;;;;;;;;;;"Волк и теленок;Старший сын;Ивашка из Дворца пионеров;Один дома;Печки-лавочки;Зеленый фургон;Родня;Человек-оркестр;По секрету всему свету;Их собственная лига;Миссис Даутфайр;Чертёнок №13;Бобро поржаловать!;Рождественские каникулы;По главной улице с оркестром;Каждое воскресенье;Жандарм на отдыхе;Год Собаки;Клетка для пташек;Дядюшка Бак"
Сапожник;Комедия;Фантастика;Абсурд/Сюр;Современное кино (2000–2020);6.428;801924;The Cobbler;5.8;3.2;;;;;;;;;;"Трасса 60;Фильм, фильм, фильм;Футурама: Большой куш Бендера!;Я на перемотке!;Наука сна;Новейший завет;Автостопом по галактике;Конец света;Generation П;Клик: С пультом по жизни;SuperАлиби;Идиократия;Супер крейзи;Изобретение лжи;Машина времени в джакузи;Джеки в царстве женщин;Как разговаривать с девушками на вечеринках;Быстрее, чем кролики;Индюки: Назад в будущее;Селфи"
Мальчишник: Часть III;Комедия;Приключения;Абсурд/Сюр;Современное кино (2000–2020);6.446;600847;The Hangover Part III;5.8;4.2;;;;;;;;;;"33;21 и больше;Отель «Гранд Будапешт»;Отель """"Гранд Будапешт;Рок-н-рольщики;Мальчишник в Вегасе;День выборов;Трио из Бельвилля;Королевство полной луны;Три дровосека;Ночь перед Рождеством;Однажды двадцать лет спустя;Шайбу! Шайбу!;Дипломная работа;Поезд на Дарджилинг. Отчаянные путешественники;Евротур;Невероятные приключения Факира;Зачетный препод;Астерикс и Обеликс: Миссия Клеопатра;Смотри в оба!"
Мир входящему;Комедия;Ужасы;Чёрная комедия;Новинки (2020–2025);7.68;46645;;7.4;0;;;;;;;;;;"Календарь ма(й)я;Ресторан господина Септима;Если свекровь — монстр…;Призрачная шестерка;Парень с нашего кладбища;Русский бес;Моя девушка — зомби;Чертов мобильник;Добро пожаловать в Зомбилэнд;Зомби по имени Шон;Добро пожаловать в Zомбилэнд;Zомбилэнд: Контрольный выстрел;Мой парень — ангел;Голоса;Скауты против зомби;Мертвые не умирают;Горько!;Убойный уикенд;Нина навсегда;Дрожь земли 3"
Все о мужчинах;Комедия;Мелодрама;Романтическая;Современное кино (2000–2020);4.97;976542;;0;0;;;;;;;;;;"40 дней и 40 ночей;500 дней лета;50 первых поцелуев;Сорокалетний девственник;Любовь по-взрослому;Практическое руководство по использованию мужчин;Амели;Барфи!;Как отделаться от парня за 10 дней;Старомодная комедия;Реальная любовь;Коллеги;Десятидюймовый герой;Прекрасная эпоха;Впервые замужем;Разиня;Мой парень - псих;Эта дурацкая любовь;Правила виноделов;Горе-творец"
Бархатные ручки;Комедия;Семейный;Семейная;Современное кино (2000–2020);7.835;57738;Mani di velluto;6.4;0;;;;;;;;;;"Винсент;Инглиш-винглиш;Как прогулять школу с пользой;Маленькая мисс Счастье;Усатый нянь;Жизнь этого парня;Мама вышла замуж;Ивановы;Сити-Айленд;Только представь!;Стажер;Семь нянек;Мисс Бабуля;Знакомство с родителями;Безумная свадьба;Школа рока;Повар на колесах;Супер мама;Биллу;Мой Аттила Марсель"
После дождичка в четверг;Комедия;Приключения;Семейная;Классика (до 2000 года);8.192;43139;;7.1;0;;;;;;;;;;"Приключения Васи Куролесова;Храбрец-удалец;Бумбараш;Жизнь не может быть скучной!;Есть мечты — будут и путешествия;Отпуск;Находка;Большой год;Драма на охоте;Тэли и Толи;Робинзон Крузо: Очень обитаемый остров;Мадемуазель Мушкетер;Ванька;Астерикс и Обеликс в Британии;Тэмми;Тетушки;Операция «Ы» и другие приключения Шурика;12 стульев;Золотая лихорадка;Паровоз Генерал"
Мэри и Макс;Комедия;Драма;Чёрная комедия;Современное кино (2000–2020);8.0;;;;;;;;;;;;;;"Однажды... Тарантино;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Вторая жизнь Уве;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс"
Мэри и Макс;Комедия;Драма;Чёрная комедия;Современное кино (2000–2020);8.0;;;;;;;;;;;;;;"Однажды... Тарантино;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Вторая жизнь Уве;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс"
Мэри и Макс;Комедия;Драма;Чёрная комедия;Современное кино (2000–2020);8.0;;;;;;;;;;;;;;"Однажды... Тарантино;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Вторая жизнь Уве;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс;Мэри и Макс"
Зеленый слоник;Комедия;Криминал;Абсурд/Сюр;Классика (до 2000 года);5.669;373314;;5.3;0;;;;;;;;;;"Джентльмены удачи;Бриллиантовая рука;Берегись автомобиля;Не может быть!;Ва-банк;Не горюй!;Попасть в десятку;Блеф;Оскар;Не пойман — не вор;Мой кузен Винни;Старики-разбойники;К-9: Собачья работа;Инспектор ГАИ;Беглецы;Достояние республики;Жандарм из Сен-Тропе;Операция «Святой Януарий»;Воспитание Аризоны;Жандарм и жандарметки"
Газгольдер. Клубаре;Комедия;Семейный;Пародия/Мемы;Новинки (2020–2025);4.346;1103873;;1.8;0;;;;;;;;;;"Серый Волк энд Красная Шапочка;Кадкина всякий знает;Кинопроба;Мистер Штайн идет в онлайн;Звездная болезнь;The Beatles: Вечер трудного дня;Симпсоны в кино;Ранго;Лего Фильм: Бэтмен;Суперзвезда;Храбрые перцем;Хоккейные папы;Счастье;Мужики!;Мама Рома;Шумный день;Отпуск в сентябре;Mister Пронька;Про Сидорова Вову;Сердца четырех"
Любовь и прочие неприятности;Комедия;Мелодрама;Романтическая;Новинки (2020–2025);6.42;86646;Failure to Launch;5.7;4.6;;;;;;;;;;"100 вещей и ничего лишнего;27 свадеб;Притворись моим парнем;Близкие друзья;Падал прошлогодний снег;Бумажный роман;Непохищенная невеста;Собака на сене;Сука-любовь;Непохищенная невеста 2;Все в жизни бывает;10 шагов к успеху;Пропало лето;Приходи на меня посмотреть;О, счастливчик;Эту пару создал Бог;Рок-волна;Женитьба;На плечо!;Инструкции не прилагаются"
Ботан и Супербаба;Комедия;Фантастика;Абсурд/Сюр;Классика (до 2000 года);4.91;4432433;;0;0;;;;;;;;;;"Иван Васильевич меняет профессию;День сурка;Кин-дза-дза!;Плезантвиль;Пурпурная роза Каира;Быть Джоном Малковичем;Совершенно серьезно;Мы из джаза;Ты есть...;По половому признаку;Шесть превращений Яна Пищика;Сексмиссия;Окно в Париж;Короткое замыкание;Суп из капусты;Жандарм и инопланетяне;Внутреннее пространство;Спящий;Невероятные приключения Билла и Теда;Ох уж эта наука!"
Душечка;Комедия;Мелодрама;Романтическая;Классика (до 2000 года);7.685;419418;;7.5;0;;;;;;;;;;"200 сигарет;Огни большого города;Ханума;10 причин моей ненависти;Служебный роман;Квартира;Девчата;Мимино;За двумя зайцами;Любовь и голуби;Покровские ворота;Укрощение строптивого;Это случилось однажды ночью;Летучая мышь;Чудак из пятого «Б»;Дело было в Пенькове;Курьер;Мне двадцать лет;Магазинчик за углом;Я шагаю по Москве"
Мисс Бабуля;Комедия;Семейный;Семейная;Современное кино (2000–2020);7.37;827281;Susanghan geunyeo;7.2;8.7;;;;;;;;;;"Винсент;Инглиш-винглиш;Как прогулять школу с пользой;Маленькая мисс Счастье;Усатый нянь;Жизнь этого парня;Мама вышла замуж;Ивановы;Сити-Айленд;Только представь!;Стажер;Семь нянек;Знакомство с родителями;Безумная свадьба;Школа рока;Повар на колесах;Супер мама;Бархатные ручки;Биллу;Мой Аттила Марсель"
Смоки и Бандит;Комедия;Боевик (Экшен);Абсурд/Сюр;Классика (до 2000 года);7.608;8140;Smokey and the Bandit;7;6.4;;;;;;;;;;"Братья Блюз;Такси;Счастливчик Гилмор;Лорд Дракон;Близнецы;Пиф-паф;Гудзонский ястреб;Али, рули!;Мама не горюй;Вооружен и очень опасен;Стой! Или моя мама будет стрелять;Полицейская академия 3: Переподготовка;Полицейская академия 7: Миссия в Москве;Тачка №19;Разборки в стиле Кунг-фу;Класс убийц;Патруль;Большие гонки;Крылышко или ножка;Разные колеса"
Советы с того света;Комедия;Фэнтези;Романтическая;Новинки (2020–2025);6.147;585999;Teen spirit;5.4;0;;;;;;;;;;"Мой любимый призрак;К черту на рога;Между ангелом и бесом;Суженый-ряженый;Странные чары;Парикмахерша и чудовище;Русалка на суше;Из 13 в 30;Формула любви;Небеса подождут;Полночь в Париже;Ангел-А;Руби Спаркс;Пенелопа;Сильная слабая женщина;Всплеск;Большой всплеск;Призраки бывших подружек;Василиса Микулишна;Кентервильское привидение"
Ёлки-иголки;Комедия;Семейный;Семейная;Новинки (2020–2025);7.266;4694773;;0;0;;;;;;;;;;"Хоккейные папы;Счастье;Мужики!;Мама Рома;Шумный день;Отпуск в сентябре;Mister Пронька;Про Сидорова Вову;Сердца четырех;Я купил папу;Маменькины сынки;Шапито-шоу: Уважение и сотрудничество;Вершки и корешки;Мой папа не подарок;Мой младший брат;Добро пожаловать в семью;Манюня в кино;Взрослые дети;Родные;Папаши"
Махнемся телами;Комедия;Семейный;Семейная;Новинки (2020–2025);7.112;1270780;Le sens de la famille;6;0;;;;;;;;;;"Хоккейные папы;Счастье;Мужики!;Мама Рома;Шумный день;Отпуск в сентябре;Mister Пронька;Про Сидорова Вову;Сердца четырех;Я купил папу;Маменькины сынки;Шапито-шоу: Уважение и сотрудничество;Вершки и корешки;Мой папа не подарок;Мой младший брат;Добро пожаловать в семью;Манюня в кино;Взрослые дети;Родные;Папаши"
Дети сексу не помеха;Комедия;Семейный;Семейная;Современное кино (2000–2020);6.206;566175;Friends with Kids;6.1;6.5;;;;;;;;;;"Винсент;Инглиш-винглиш;Как прогулять школу с пользой;Маленькая мисс Счастье;Усатый нянь;Жизнь этого парня;Мама вышла замуж;Ивановы;Сити-Айленд;Только представь!;Стажер;Семь нянек;Мисс Бабуля;Знакомство с родителями;Безумная свадьба;Школа рока;Повар на колесах;Супер мама;Бархатные ручки;Биллу"
Пришла и говорю;Комедия;Семейный;Семейная;Новинки (2020–2025);5.304;43269;;5.1;0;;;;;;;;;;"Хоккейные папы;Счастье;Мужики!;Мама Рома;Шумный день;Отпуск в сентябре;Mister Пронька;Про Сидорова Вову;Сердца четырех;Я купил папу;Маменькины сынки;Шапито-шоу: Уважение и сотрудничество;Вершки и корешки;Мой папа не подарок;Мой младший брат;Добро пожаловать в семью;Манюня в кино;Взрослые дети;Родные;Папаши"
Счастье в конверте;Комедия;Мелодрама;Романтическая;Новинки (2020–2025);8.462;1234939;;6.4;0;;;;;;;;;;"100 вещей и ничего лишнего;27 свадеб;Притворись моим парнем;Близкие друзья;Падал прошлогодний снег;Бумажный роман;Непохищенная невеста;Собака на сене;Сука-любовь;Непохищенная невеста 2;Все в жизни бывает;10 шагов к успеху;Пропало лето;Приходи на меня посмотреть;О, счастливчик;Эту пару создал Бог;Рок-волна;Женитьба;На плечо!;Инструкции не прилагаются"
1+1;Комедия;Драма;Абсурд/Сюр;Современное кино (2000–2020);8.856;535341;Intouchables;8.5;6.8;;;;;;;;;;"Евгений Гришковец: Прощание с бумагой;Милая Фрэнсис;Душевная кухня;Рассказы;Восьмой класс;Уроки вождения;Мой партнер;1+1: Голливудская история;Три идиота;Овсянки;Новые времена;Амаркорд;Из жизни Федора Кузькина;Ночь на Земле;Скромное обаяние буржуазии;Антон тут рядом;Академия Рашмор;Розенкранц и Гильденштерн мертвы;Репетиция оркестра;Кушать подано!"
Сенсация;Комедия;Детектив;Романтическая;Современное кино (2000–2020);7.13;104905;Scoop;6.6;5.4;;;;;;;;;;"Проклятие нефритового скорпиона;Его девушка Пятница;Инкогнито из Петербурга;Тонкая штучка;Я люблю неприятности;День радио;8 женщин;Маленькое одолжение;Я, снова я и Ирэн;Простая просьба;Мисс Конгениальность;Сумасшедшая помощь;Гиппопотам;Добряки;Мисс Переполох;Белые цыпочки;Она его обожает;Чистое искусство;Типа крутой охранник;Малышка с характером"
Пришельцы на чердаке;Комедия;Фантастика;Семейная;Современное кино (2000–2020);6.018;278204;Aliens in the Attic;5.4;4.6;;;;;;;;;;"Перемотка;Таблетка от слёз;Секс и 101 смерть;Трасса 60;Фильм, фильм, фильм;ПиКей;Симона;Футурама: Большой куш Бендера!;Я на перемотке!;Ом Шанти Ом;Мегамозг;Наука сна;Молодильные яблоки;Пол: Секретный материальчик;Лобстер;Новейший завет;Робот и Фрэнк;Автостопом по галактике;Конец света;Третий лишний"
Мой папа псих;Комедия;Семейный;Семейная;Новинки (2020–2025);6.63;77784;King of California;6.6;6.2;;;;;;;;;;"Хоккейные папы;Счастье;Мужики!;Мама Рома;Шумный день;Отпуск в сентябре;Mister Пронька;Про Сидорова Вову;Сердца четырех;Я купил папу;Маменькины сынки;Шапито-шоу: Уважение и сотрудничество;Вершки и корешки;Мой папа не подарок;Мой младший брат;Добро пожаловать в семью;Манюня в кино;Взрослые дети;Родные;Папаши"
День выборов;Комедия;Приключения;Абсурд/Сюр;Современное кино (2000–2020);7.947;309408;;7.4;0;;;;;;;;;;"33;21 и больше;Отель «Гранд Будапешт»;Отель """"Гранд Будапешт;Рок-н-рольщики;Мальчишник в Вегасе;Трио из Бельвилля;Королевство полной луны;Три дровосека;Ночь перед Рождеством;Однажды двадцать лет спустя;Шайбу! Шайбу!;Дипломная работа;Поезд на Дарджилинг. Отчаянные путешественники;Евротур;Невероятные приключения Факира;Зачетный препод;Астерикс и Обеликс: Миссия Клеопатра;Смотри в оба!;Проект X: Дорвались"
